Dates,County,States,Vehicle_Primary_Use,Battery_EV,PlugIn_Hybrid _EV,EV_Total,NEV_Total,Total_Vehicles,Percent_EV
February 29 2024,Cowlitz,WA,Passenger,612,259,871,67001,67872,1.28
September 30 2022,Grays Harbor,WA,Passenger,224,166,390,48742,49132,0.79
February 28 2023,Benton,WA,Truck,15,0,15,43349,43364,0.03
August 31 2023,Benton,WA,Truck,27,0,27,43157,43184,0.06
October 31 2020,Whitman,WA,Passenger,50,46,96,21971,22067,0.44
September 30 2022,Thurston,WA,Passenger,2380,1100,3480,192504,195984,1.78
April 30 2019,Lincoln,WA,Passenger,3,6,9,7756,7765,0.12
May 31 2021,Clallam,WA,Passenger,321,208,529,50421,50950,1.04
November 30 2020,Garfield,WA,Passenger,0,1,1,1362,1363,0.07
September 30 2021,Jefferson,WA,Truck,0,0,0,9616,9616,0
February 29 2024,Clallam,WA,Truck,27,0,27,20759,20786,0.13
April 30 2021,Garfield,WA,Passenger,0,2,2,1374,1376,0.15
June 30 2018,Okanogan,WA,Truck,0,0,0,16433,16433,0
March 31 2021,Spokane,WA,Truck,0,0,0,101399,101399,0
March 31 2017,Douglas,WA,Truck,0,0,0,11440,11440,0
June 30 2019,Klickitat,WA,Truck,0,0,0,8247,8247,0
October 31 2021,Pend Oreille,WA,Passenger,18,7,25,9203,9228,0.27
October 31 2017,Clallam,WA,Truck,0,0,0,21148,21148,0
August 31 2019,Lewis,WA,Truck,0,0,0,25982,25982,0
December 31 2018,Klickitat,WA,Passenger,28,32,60,15430,15490,0.39
April 30 2018,Wahkiakum,WA,Passenger,1,3,4,2888,2892,0.14
July 31 2022,Lewis,WA,Truck,0,0,0,26331,26331,0
August 31 2021,San Juan,WA,Truck,0,0,0,5974,5974,0
October 31 2019,Adams,WA,Passenger,6,6,12,12907,12919,0.09
July 31 2017,Pend Oreille,WA,Truck,0,0,0,5581,5581,0
May 31 2023,Yakima,WA,Passenger,483,248,731,166003,166734,0.44
September 30 2021,Island,WA,Passenger,661,329,990,63103,64093,1.54
April 30 2019,Clark,WA,Passenger,1414,897,2311,312524,314835,0.73
November 30 2023,Pend Oreille,WA,Passenger,32,20,52,8704,8756,0.59
May 31 2017,Adams,WA,Passenger,2,3,5,12195,12200,0.04
October 31 2017,Chelan,WA,Truck,0,0,0,21490,21490,0
March 31 2018,Snohomish,WA,Passenger,2133,1158,3291,517854,521145,0.63
June 30 2023,Kittitas,WA,Passenger,358,106,464,29353,29817,1.56
February 28 2019,Whitman,WA,Passenger,25,40,65,22751,22816,0.28
June 30 2023,Spokane,WA,Truck,39,0,39,101789,101828,0.04
