Facility_Id,City,State,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic ,Methane_CH4_ emissions 
1000693,MINNEAPOLIS,MN,55401,3100 MARSHALL ST NE,Hennepin,Power Plants,577103.312,576517.5,267.25
1000998,JENKS,OK,74037,116TH ST S AND ARKANSAS RIVER,Tulsa,Power Plants,568767.94,568189.8,263.75
1000136,BELOIT,WI,53511,1401 W B R TOWN LINE ROAD,Rock,Power Plants,2183956.256,2181738.5,1011.75
1000471,RIVERSIDE,CA,92504,5901 PAYTON AVE,Riverside,Power Plants,46177.828,46130.7,21.5
1001358,CATLETTSBURG,KY,41129,25038 HWY 23,Lawrence,Power Plants,393311.942,392912.5,182.2
1001575,RIVERTON,KS,66770,7240 SE HWY 66,Cherokee,Power Plants,601724.368,601112.8,279
1006247,RIVERTON,WV,26814,1088 Germany Valley Limestone Rd,PENDLETON COUNTY,Minerals,326695.9,325638.9,386.5
1005655,Memphis,TN,38106,2314 S. Lauderdale Street,SHELBY COUNTY,Other,46019.676,45972,21.75
1001485,RIVIERA BEACH,FL,33404,200 300 BROADWAY,Palm Beach,Power Plants,2311617.56,2309256.2,1074
1001171,CONVOY,OH,45832,4406 MENTZER RD,Van Wert,Power Plants,318772.644,318443.7,149.25
1000099,Robinson,IL,62454,400 S. Marathon Avenue,Crawford,"Petroleum Product Suppliers,Refineries",1781114.208,1767196.4,8406
1004936,Rochelle,IL,61068,6513 South Mulford Road,OGLE COUNTY,Waste,45498.65,27.4,45471.25
1001159,RISING SUN,MD,21911,1423 RISING SUN ROAD,Cecil,Power Plants,130480.068,130348,60.25
1006554,ROCKFORD,IL,61104,136 HARRISON AVE,Winnebago,Power Plants,43916.788,43872.3,20.35
1000823,ROCKFORD,IL,61104,136 HARRISON AVE,Winnebago,Power Plants,33400.651,33366.7,15.475
1007308,CAMBRIDGE,WI,53523,2346 CLEARVIEW ROAD,Dane,Power Plants,380806.692,380421.4,175.5
1001322,REIDSVILLE,NC,27320,240 ERNEST DRIVE,Rockingham,Power Plants,827170.842,826284.2,393.75
1001037,ROCKPORT,IN,47635,2791 NORTH US ROUTE 231,Spencer,Power Plants,6434845.278,6384450.5,18431
1000271,KEENESBURG,CO,80643,6211 WELD COUNTY RD 51,Weld,Power Plants,1145188.956,1144026.1,530.5
1001317,EAST DUNDEE,IL,60118,1221 POWER DRIVE,Kane,Power Plants,11730.356,11718.3,5.5
1001054,LINCOLN,NE,68523,8000 SW 12 ST,Lancaster,Power Plants,52598.996,52543.6,25
1001047,BRYAN,TX,77807,8181 MUMFORD ROAD,Brazos,Power Plants,120255.504,120133.3,55.75
1000808,WILKESVILLE,OH,45695,43111 STATE RT 160,Vinton,Power Plants,835587.279,834738.9,387.075
1011113,Stennis Space Center,MS,39529,H1 Test Site-Bldg. 5002,HANCOCK COUNTY,Other,2246.312,2238.4,2.25
1013539,El Dorado,AR,71730,1165 Del-Tin Highway,UNION COUNTY,Other,83503.976,83050.8,92
